"Date_reported","Country_code","Country","New_cases"
2020-01-03,"IN","India",0
2020-01-04,"IN","India",0
2020-01-05,"IN","India",0
2020-01-06,"IN","India",0
2020-01-07,"IN","India",0
2020-01-08,"IN","India",0
2020-01-09,"IN","India",0
2020-01-10,"IN","India",0
2020-01-11,"IN","India",0
2020-01-12,"IN","India",0
2020-01-13,"IN","India",0
2020-01-14,"IN","India",0
2020-01-15,"IN","India",0
2020-01-16,"IN","India",0
2020-01-17,"IN","India",0
2020-01-18,"IN","India",0
2020-01-19,"IN","India",0
2020-01-20,"IN","India",0
2020-01-21,"IN","India",0
2020-01-22,"IN","India",0
2020-01-23,"IN","India",0
2020-01-24,"IN","India",0
2020-01-25,"IN","India",0
2020-01-26,"IN","India",0
2020-01-27,"IN","India",0
2020-01-28,"IN","India",0
2020-01-29,"IN","India",0
2020-01-30,"IN","India",1
2020-01-31,"IN","India",4
2020-02-01,"IN","India",0
2020-02-02,"IN","India",-3
2020-02-03,"IN","India",1
2020-02-04,"IN","India",4
2020-02-05,"IN","India",0
2020-02-06,"IN","India",0
2020-02-07,"IN","India",0
2020-02-08,"IN","India",0
2020-02-09,"IN","India",0
2020-02-10,"IN","India",0
2020-02-11,"IN","India",0
2020-02-12,"IN","India",0
2020-02-13,"IN","India",0
2020-02-14,"IN","India",0
2020-02-15,"IN","India",0
2020-02-16,"IN","India",0
2020-02-17,"IN","India",0
2020-02-18,"IN","India",0
2020-02-19,"IN","India",0
2020-02-20,"IN","India",0
2020-02-21,"IN","India",0
2020-02-22,"IN","India",0
2020-02-23,"IN","India",0
2020-02-24,"IN","India",0
2020-02-25,"IN","India",0
2020-02-26,"IN","India",0
2020-02-27,"IN","India",0
2020-02-28,"IN","India",0
2020-02-29,"IN","India",0
2020-03-01,"IN","India",0
2020-03-02,"IN","India",-2
2020-03-03,"IN","India",4
2020-03-04,"IN","India",19
2020-03-05,"IN","India",1
2020-03-06,"IN","India",2
2020-03-07,"IN","India",3
2020-03-08,"IN","India",5
2020-03-09,"IN","India",5
2020-03-10,"IN","India",6
2020-03-11,"IN","India",10
2020-03-12,"IN","India",13
2020-03-13,"IN","India",8
2020-03-14,"IN","India",3
2020-03-15,"IN","India",23
2020-03-16,"IN","India",7
2020-03-17,"IN","India",23
2020-03-18,"IN","India",14
2020-03-19,"IN","India",22
2020-03-20,"IN","India",50
2020-03-21,"IN","India",60
2020-03-22,"IN","India",77
2020-03-23,"IN","India",74
2020-03-24,"IN","India",85
2020-03-25,"IN","India",87
2020-03-26,"IN","India",43
2020-03-27,"IN","India",75
2020-03-28,"IN","India",185
2020-03-29,"IN","India",70
2020-03-30,"IN","India",92
2020-03-31,"IN","India",180
2020-04-01,"IN","India",386
2020-04-02,"IN","India",328
2020-04-03,"IN","India",336
2020-04-04,"IN","India",601
2020-04-05,"IN","India",472
2020-04-06,"IN","India",693
2020-04-07,"IN","India",354
2020-04-08,"IN","India",853
2020-04-09,"IN","India",591
2020-04-10,"IN","India",547
2020-04-11,"IN","India",1035
2020-04-12,"IN","India",909
2020-04-13,"IN","India",796
2020-04-14,"IN","India",1211
2020-04-15,"IN","India",1076
2020-04-16,"IN","India",941
2020-04-17,"IN","India",1007
2020-04-18,"IN","India",991
2020-04-19,"IN","India",1334
2020-04-20,"IN","India",1553
2020-04-21,"IN","India",1336
2020-04-22,"IN","India",1383
2020-04-23,"IN","India",1409
2020-04-24,"IN","India",1684
2020-04-25,"IN","India",1429
2020-04-26,"IN","India",1990
2020-04-27,"IN","India",1396
2020-04-28,"IN","India",1543
2020-04-29,"IN","India",1897
2020-04-30,"IN","India",1718
2020-05-01,"IN","India",1993
2020-05-02,"IN","India",2293
2020-05-03,"IN","India",2644
2020-05-04,"IN","India",2553
2020-05-05,"IN","India",3900
2020-05-06,"IN","India",2958
2020-05-07,"IN","India",3561
2020-05-08,"IN","India",3390
2020-05-09,"IN","India",3320
2020-05-10,"IN","India",3277
2020-05-11,"IN","India",4213
2020-05-12,"IN","India",3604
2020-05-13,"IN","India",3525
2020-05-14,"IN","India",3722
2020-05-15,"IN","India",3967
2020-05-16,"IN","India",3970
2020-05-17,"IN","India",4987
2020-05-18,"IN","India",5242
2020-05-19,"IN","India",4970
2020-05-20,"IN","India",5611
2020-05-21,"IN","India",5609
2020-05-22,"IN","India",6088
2020-05-23,"IN","India",6654
2020-05-24,"IN","India",6767
2020-05-25,"IN","India",6977
2020-05-26,"IN","India",6535
2020-05-27,"IN","India",6387
2020-05-28,"IN","India",6566
2020-05-29,"IN","India",7466
2020-05-30,"IN","India",7964
2020-05-31,"IN","India",8380
2020-06-01,"IN","India",8392
2020-06-02,"IN","India",8171
2020-06-03,"IN","India",8909
2020-06-04,"IN","India",9304
2020-06-05,"IN","India",9851
2020-06-06,"IN","India",9887
2020-06-07,"IN","India",9971
2020-06-08,"IN","India",9983
2020-06-09,"IN","India",9987
2020-06-10,"IN","India",9985
2020-06-11,"IN","India",9996
2020-06-12,"IN","India",10956
2020-06-13,"IN","India",11458
2020-06-14,"IN","India",11929
2020-06-15,"IN","India",11502
2020-06-16,"IN","India",10667
2020-06-17,"IN","India",10974
2020-06-18,"IN","India",12881
2020-06-19,"IN","India",13586
2020-06-20,"IN","India",14516
2020-06-21,"IN","India",15413
2020-06-22,"IN","India",14821
2020-06-23,"IN","India",14933
2020-06-24,"IN","India",15968
2020-06-25,"IN","India",16922
2020-06-26,"IN","India",17296
2020-06-27,"IN","India",18552
2020-06-28,"IN","India",19906
2020-06-29,"IN","India",19459
2020-06-30,"IN","India",18522
2020-07-01,"IN","India",18653
