"Location","Date","Year","Month","YearMonth","Vaccine","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","Population","daily_vaccinations","daily_people_vaccinated","daily_people_fully_vaccinated","daily_total_boosters","Daily_Vaccination_Rate","Cumulative_Vaccination_Rate","Proportion_Fully_Vaccinated","Booster_Shot_Rate"
"India",2021-01-15,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",0,0,0,0,1407563842,0,0,0,0,0,0,0,0
"India",2021-01-16,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",191181,191181,0,0,1407563842,191181,191181,0,0,0.135824034615973,0.0135824034615973,0,0
"India",2021-01-17,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",224301,224301,0,0,1407563842,33120,33120,0,0,0.0235300161965939,0.0159354050812567,0,0
"India",2021-01-18,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",454049,454049,0,0,1407563842,229748,229748,0,0,0.163223857522194,0.0322577908334761,0,0
"India",2021-01-19,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",674835,674835,0,0,1407563842,220786,220786,0,0,0.156856828381075,0.0479434736715836,0,0
"India",2021-01-20,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",806484,806484,0,0,1407563842,131649,131649,0,0,0.0935296830394141,0.057296441975525,0,0
"India",2021-01-21,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",1043534,1043534,0,0,1407563842,237050,237050,0,0,0.168411544064088,0.0741375963819338,0,0
"India",2021-01-22,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",1390592,1390592,0,0,1407563842,347058,347058,0,0,0.246566436025287,0.0987942399844624,0,0
"India",2021-01-23,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",1582201,1582201,0,0,1407563842,191609,191609,0,0,0.136128106081315,0.112407050592594,0,0
"India",2021-01-24,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",1615504,1615504,0,0,1407563842,33303,33303,0,0,0.0236600280614483,0.114773053398739,0,0
"India",2021-01-25,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",2023809,2023809,0,0,1407563842,408305,408305,0,0,0.290079204805262,0.143780973879265,0,0
"India",2021-01-26,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",2029480,2029480,0,0,1407563842,5671,5671,0,0,0.00402894691578757,0.144183868570844,0,0
"India",2021-01-27,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",2355979,2355979,0,0,1407563842,326499,326499,0,0,0.231960348978615,0.167379903468705,0,0
"India",2021-01-28,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",2928053,2928053,0,0,1407563842,572074,572074,0,0,0.40642845669234,0.208022749137939,0,0
"India",2021-01-29,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",3500027,3500027,0,0,1407563842,571974,571974,0,0,0.406357411957446,0.248658490333684,0,0
"India",2021-01-30,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",3744334,3744334,0,0,1407563842,244307,244307,0,0,0.17356726047528,0.266015216381212,0,0
"India",2021-01-31,2021,1,2021-01-01,"Covaxin, Oxford/AstraZeneca",3758843,3758843,0,0,1407563842,14509,14509,0,0,0.0103078805856395,0.267046004439776,0,0
"India",2021-02-01,2021,2,2021-02-01,"Covaxin, Oxford/AstraZeneca",3950156,3950156,0,0,1407563842,191313,191313,0,0,0.135917813666032,0.280637785806379,0,0
"India",2021-02-02,2021,2,2021-02-01,"Covaxin, Oxford/AstraZeneca",4138918,4138918,0,0,1407563842,188762,188762,0,0,0.134105462478909,0.29404833205427,0,0
